publik;Publikowanie;zamieszczanie czegoś w Internecie. Zamieszczony materiał często nazywany jest “postem”. Poszczególne strony służą do publikowania różnych rzeczy. Istnieją na przykład strony służące do oglądania filmów lub zdjęć. Musisz uważać, co publikujesz, ponieważ mogą to zobaczyć wszyscy użytkownicy Internetu. Ogranicz informacje osobiste, które wysyłasz, ponieważ ktoś może je wykorzystać w sposób niezgodny z prawem.
pafy;Pafy;pafos
osiem;Osiem;test
koment;Komentowanie;zostawianie wiadomości dla autora opublikowanego materiału. Możesz na przykład napisać komentarz pod jakimś zdjęciem zawierający swoje odczucia na temat zdjęcia. Pamiętaj jednak, że nie tylko autor może zobaczyć komentarze, ale i wszyscy inni. Zachowaj więc należytą ostrożność. Pamiętaj też, że nie musisz zostawiać komentarza, jeżeli nie masz ochoty.
dostęp;Udostępnianie;wysyłanie materiału swoim znajomym przez Internet. Osoba ta zostanie powiadomiona, czym jest udostępniony materiał i będzie mogła bezpośrednio przejść do strony, gdzie jest zamieszczony. Niektóre strony mają system udostępniania zawarty w niej, a niektóre pozwalają ci wysyłać takie rzeczy przez inne, dedykowane strony.
like;Lajkowanie;oznaczanie, że dany post ci się spodobał. Materiały z dużą ilością lajków mają większą szansę na pokazanie się innym użytkownikom. Poprzez lajkowanie pokazujesz też stronie, że chcesz zobaczyć więcej treści podobnych do tej. Dodatkowo autor dostaje informację, że ludzie lubią, co robią. Tak jak komentowanie, lajkowanie jest opcjonalne.
lajk;Lajkowanie;oznaczanie, że dany post ci się spodobał. Materiały z dużą ilością lajków mają większą szansę na pokazanie się innym użytkownikom. Poprzez lajkowanie pokazujesz też stronie, że chcesz zobaczyć więcej treści podobnych do tej. Dodatkowo autor dostaje informację, że ludzie lubią, co robią. Tak jak komentowanie, lajkowanie jest opcjonalne.
chat;Czatowanie;rozmawianie z innymi ludźmi poprzez Internet. Istnieje wiele odmian czatów: w niektórych musisz dodać swoich znajomych, aby z nimi rozmawiać. W innych masz szansę pisać z kompletnie losową osobą. Pamiętaj, aby być ostrożnym, jakie informacje o sobie podajesz.
czat;Czatowanie;rozmawianie z innymi ludźmi poprzez Internet. Istnieje wiele odmian czatów: w niektórych musisz dodać swoich znajomych, aby z nimi rozmawiać. W innych masz szansę pisać z kompletnie losową osobą. Pamiętaj, aby być ostrożnym, jakie informacje o sobie podajesz.
instal;Instalowanie;pobieranie na urządzenie danego materiału. Uważaj, jakie rzeczy pobierasz w Internecie. Zweryfikuj, że to, co chcesz instalować, pochodzi z wiarygodnego źródła.
cookie;Pliki cookies;niedużych rozmiarów pliki tekstowe, znane również jako „ciasteczka”. Po wejściu na stronę zapyta cię ona o przechowywanie plików cookies. Pliki te zapisywane są na twoim urządzeniu i pozwalają ominąć czekanie na załadowanie elementów strony.
ciast;Pliki cookies;niedużych rozmiarów pliki tekstowe, znane również jako „ciasteczka”. Po wejściu na stronę zapyta cię ona o przechowywanie plików cookies. Pliki te zapisywane są na twoim urządzeniu i pozwalają ominąć czekanie na załadowanie elementów strony.
bot;Boty;konta stworzone przez ludzi, które zostały zautomatyzowane, aby wysyłać treści do Internetu. Może chodzić o wysyłanie informacji częściej niż człowiek, lub o wysyłanie treści co określoną ilość czasu.
fake;Fake news;fałszywe wiadomości publikowane na Internecie w celu oszukania odbiorcy. Często osoby publikujące Fake Newsy mają na celu przekonać ludzi do swoich poglądów.
PLACEHOLDER;PLACEHOLDER;PLACEHOLDER
